time,open,high,low,close,volume
2025-04-19 21:00:00,85195,85386,85176,85343,24.3293
2025-04-19 22:00:00,85343,85365,85223,85263,36.4686
2025-04-19 23:00:00,85263,85263,85072,85092,15.7759
2025-04-20 00:00:00,85092,85236,85041,85168,49.0248
2025-04-20 01:00:00,85168,85328,85151,85317,26.52410000000001
2025-04-20 02:00:00,85317,85330,85206,85232,22.9122
2025-04-20 03:00:00,85232,85268,85114,85184,39.6451
2025-04-20 04:00:00,85184,85251,85119,85189,15.6059
2025-04-20 05:00:00,85189,85197,85082,85083,13.2303
2025-04-20 06:00:00,85083,85162,84852,84962,87.2543
2025-04-20 07:00:00,84962,84962,84678,84790,185.4428
2025-04-20 08:00:00,84790,84804,84634,84657,98.7733
2025-04-20 09:00:00,84657,84657,84460,84562,103.4653
2025-04-20 10:00:00,84562,84562,83988,84188,138.6385000000001
2025-04-20 11:00:00,84188,84255,83960,84137,70.2265
2025-04-20 12:00:00,84137,84500,84116,84375,98.4386
2025-04-20 13:00:00,84375,84476,84168,84322,46.7022
2025-04-20 14:00:00,84322,84678,84266,84642,86.1094
2025-04-20 15:00:00,84642,84642,84319,84366,62.743
2025-04-20 16:00:00,84366,84640,84286,84621,51.2882
2025-04-20 17:00:00,84621,84634,84464,84597,25.4576
2025-04-20 18:00:00,84597,84647,84483,84587,18.815
2025-04-20 19:00:00,84587,84665,84533,84649,11.7067
2025-04-20 20:00:00,84649,85264,84623,85131,130.4742
2025-04-20 21:00:00,85131,85260,84924,85014,89.8232
2025-04-20 22:00:00,85014,85036,84687,84857,58.5892
2025-04-20 23:00:00,84857,85316,84857,85193,70.1178
2025-04-21 00:00:00,85193,87039,85159,86639,491.9696
2025-04-21 01:00:00,86639,87452,86639,87286,276.8566
2025-04-21 02:00:00,87286,87657,87142,87367,134.0007
2025-04-21 03:00:00,87367,87637,87175,87217,57.2311
2025-04-21 04:00:00,87217,87417,87071,87375,73.7924
2025-04-21 05:00:00,87375,87759,87349,87553,86.4271
2025-04-21 06:00:00,87553,87702,87382,87532,91.5525
2025-04-21 07:00:00,87532,87620,87357,87448,68.6981
2025-04-21 08:00:00,87448,87733,87425,87586,59.8311
2025-04-21 09:00:00,87586,87800,87307,87516,228.808399999999
2025-04-21 10:00:00,87516,87584,87256,87352,76.999
2025-04-21 11:00:00,87352,87358,86649,87005,240.4502
2025-04-21 12:00:00,87005,87545,86990,87063,292.9487
